mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.002598476409912109,0.0008031660770619431,0.003802967071533203,0.0007447601623084736,euclidean,1,"{'metric': 'euclidean', 'n_neighbors': 1}",-0.4203660173649826,-0.7370600927005755,-0.8207063722117554,-0.6212604699678734,-0.048773364599615565,-0.5296332633689604,0.2754307762400036,100
0.001801443099975586,0.00040149715337495294,0.0029981136322021484,0.0006345415952230274,euclidean,2,"{'metric': 'euclidean', 'n_neighbors': 2}",0.03210454817398978,-0.21249786125470504,-0.40444940548478314,-0.27086281778097976,0.12485529321121447,-0.14617004862705274,0.19590429263760925,98
0.0017986297607421875,0.00040223807560522767,0.00262298583984375,0.0004658631340870364,euclidean,3,"{'metric': 'euclidean', 'n_neighbors': 3}",0.06346967660721259,0.05134892058248863,-0.23478852088457103,-0.17402497595095556,0.08098671546510883,-0.042601636836143306,0.13383557379392033,96
0.0017969608306884766,0.00039841401050312087,0.0028012752532958984,0.00040166894211766355,euclidean,4,"{'metric': 'euclidean', 'n_neighbors': 4}",0.022987573392372673,0.07487814765155798,-0.10111226220838088,-0.2204177298293286,0.13899708028418278,-0.01693343814191921,0.12870843982366195,91
0.0018027305603027343,0.00039857156020432224,0.0025955677032470704,0.0004924395612783337,euclidean,5,"{'metric': 'euclidean', 'n_neighbors': 5}",0.0466005766892158,0.0740577600238721,-0.11952269722294129,-0.10511071918639225,0.18040094927359462,0.015285173915469796,0.11346049867467681,89
0.0018243789672851562,0.00041460888079910044,0.0029755592346191405,4.6926348828277066e-05,euclidean,6,"{'metric': 'euclidean', 'n_neighbors': 6}",0.06712702409965832,0.04578935173470278,-0.12754390102923607,-0.0861891886911017,0.13355989379698507,0.006548635982201678,0.09790050776034957,90
0.0015965938568115235,0.0004893237910696657,0.0030254840850830076,3.6196431973138036e-05,euclidean,7,"{'metric': 'euclidean', 'n_neighbors': 7}",0.0805236562496564,0.09736065328165344,-0.09473149613671428,-0.027017549294401588,0.15625249311030232,0.04247755144209926,0.09062040617214537,75
0.001627969741821289,0.00047390415807964354,0.002751064300537109,0.00037902994767897774,euclidean,8,"{'metric': 'euclidean', 'n_neighbors': 8}",0.12814156818815992,0.12517513302856975,-0.11139999820600588,0.0019459253813592925,0.19878269956387284,0.06852906559119118,0.11003292156824784,38
0.0016006946563720704,0.0004948080487476076,0.002796506881713867,0.00040238591212745224,euclidean,9,"{'metric': 'euclidean', 'n_neighbors': 9}",0.1687176743629587,0.12655228045332234,-0.15107109943784747,0.002577334572203771,0.21496610183131815,0.0723484583563911,0.13217350783955092,32
0.0013967037200927734,0.0004872280782590627,0.0027996063232421874,0.00040278270199948634,euclidean,10,"{'metric': 'euclidean', 'n_neighbors': 10}",0.16727835761850995,0.1262275620957667,-0.08825987184707196,-0.010890461030122145,0.19152934192440363,0.07717698575229723,0.10837518779595318,26
0.001602506637573242,0.0004939622521379954,0.0029020786285400392,0.0007991907191737316,euclidean,11,"{'metric': 'euclidean', 'n_neighbors': 11}",0.17363846355412726,0.1415179994420065,-0.06602342970198838,0.009397630345614583,0.1406337363711918,0.07983288000219035,0.09223499669402412,23
0.0013855457305908202,0.00047684020041448977,0.0028325557708740235,0.00041456403527875,euclidean,12,"{'metric': 'euclidean', 'n_neighbors': 12}",0.16738160633426724,0.13686493602920935,-0.03173040659803661,0.03330362091266659,0.11649164584193106,0.08446228050400753,0.07316485786682586,19
0.0017706394195556641,0.0003924742515266083,0.002785205841064453,0.0007612564030050722,euclidean,13,"{'metric': 'euclidean', 'n_neighbors': 13}",0.16309283058279966,0.12678442939367351,-0.03841271655286138,0.03532393200408834,0.11360040656588577,0.08007777639871719,0.07244264061519143,22
0.0017990589141845704,0.0004048529835380251,0.0028008460998535157,0.00040027520318594134,euclidean,14,"{'metric': 'euclidean', 'n_neighbors': 14}",0.1374667996162342,0.10119851219414489,-0.04031823655280209,0.056329802859028,0.10278883641685566,0.07149314290669213,0.06155658248221817,34
0.002194929122924805,0.00039910351208279266,0.0033956050872802736,0.0010217695109769344,euclidean,15,"{'metric': 'euclidean', 'n_neighbors': 15}",0.1249821763249157,0.11221284759541106,-0.05494970617908024,0.07064784374341126,0.10832652911980267,0.0722439381208921,0.06612345958010817,33
0.002204608917236328,0.00039857210215178256,0.003595256805419922,0.000492064170957338,euclidean,16,"{'metric': 'euclidean', 'n_neighbors': 16}",0.11663180002652651,0.10253137850289362,-0.008151990324764435,0.06587272531466926,0.10540368699082492,0.07645752010202997,0.045612512696115375,27
0.0023994922637939455,0.0004897489366470847,0.00340118408203125,0.00048666423191758186,euclidean,17,"{'metric': 'euclidean', 'n_neighbors': 17}",0.10279566749947588,0.11323353830635785,-0.0013860855866747457,0.06066383488040905,0.11412521736258197,0.07788643449243,0.04419024190481416,25
0.002398109436035156,0.000497140427859801,0.003602743148803711,0.0008010906264785348,euclidean,18,"{'metric': 'euclidean', 'n_neighbors': 18}",0.09045182693176423,0.08378387975979729,0.019111804055392922,0.05413838672859217,0.1292261678644523,0.07534241306799978,0.03691748610377044,28
0.002001667022705078,2.0038510693979927e-06,0.002595949172973633,0.0004924545857140489,euclidean,19,"{'metric': 'euclidean', 'n_neighbors': 19}",0.09716775239174402,0.08461358783615147,0.00869832524831926,0.04959131304141817,0.10642680439359475,0.06929955658224554,0.03591799694754735,37
