mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0013813018798828126,0.0005056861457481846,0.02859659194946289,0.030452490882125673,euclidean,1,"{'metric': 'euclidean', 'n_neighbors': 1}",0.00016421058917159836,-0.3153610275221137,-0.23095189757396106,-0.28313759535826244,-0.018474744339871618,-0.16955221084100744,0.13383559819140042,99
0.001204538345336914,0.000398033242144198,0.008195447921752929,0.0009819018836151267,euclidean,2,"{'metric': 'euclidean', 'n_neighbors': 2}",0.07719913002837508,-0.05080442808449748,0.07054484849908893,0.1644577497582882,0.2262811792799434,0.09753569589623963,0.09402216219801925,97
0.0006027698516845703,0.0004921611938543559,0.007796192169189453,0.00040277510930808224,euclidean,3,"{'metric': 'euclidean', 'n_neighbors': 3}",0.23197602499879744,0.02471752401851801,0.07910388561053294,0.26403925601472655,0.27167293826248495,0.17430192578101197,0.10227254209480491,96
0.000801992416381836,0.000401019097507357,0.007596921920776367,0.0004940540009696981,euclidean,4,"{'metric': 'euclidean', 'n_neighbors': 4}",0.2788230062480406,0.15206935685462875,0.1412139535303425,0.36011096872902193,0.322453569558822,0.25093417098417115,0.08902265134409273,74
0.0007973670959472656,0.00039868917975652914,0.007804107666015625,0.0007510246306882583,euclidean,5,"{'metric': 'euclidean', 'n_neighbors': 5}",0.3115368296791692,0.23358620925933016,0.13872628813202625,0.3000237212821423,0.2844200132768354,0.25365861232590065,0.06333753337548477,69
0.0011412620544433594,0.0002804294043549206,0.007482051849365234,0.0006131044347323132,euclidean,6,"{'metric': 'euclidean', 'n_neighbors': 6}",0.3383714979412431,0.2894339879919223,0.18467949005890283,0.2794549666616436,0.2618739303187423,0.27076277459449083,0.049968892951987434,37
0.0007948398590087891,0.0003977049562629375,0.008603191375732422,0.0010251639670354772,euclidean,7,"{'metric': 'euclidean', 'n_neighbors': 7}",0.3443368239234792,0.2586321219252957,0.18418828378173968,0.2549151431048139,0.2815151740360121,0.2647175093542681,0.05145769385969721,44
0.0010057926177978516,5.114842626757766e-06,0.007995939254760743,3.7015588178778364e-06,euclidean,8,"{'metric': 'euclidean', 'n_neighbors': 8}",0.3461478549848248,0.2600791572907083,0.2048667388480242,0.25990962737732415,0.28820150929190425,0.27184097755855713,0.0459465454968185,33
0.0009999752044677734,5.985018699162667e-06,0.00793285369873047,0.00014179355647975366,euclidean,9,"{'metric': 'euclidean', 'n_neighbors': 9}",0.3486366771318842,0.24618208296352007,0.19418335596698433,0.25309947456453163,0.334196651900049,0.27525964850539386,0.05790976090073135,28
0.0010025501251220703,7.531914233651788e-06,0.007794094085693359,0.00040233109156282245,euclidean,10,"{'metric': 'euclidean', 'n_neighbors': 10}",0.3163917421595185,0.24024553779901492,0.17723550135639254,0.24396255564109348,0.2982808282867859,0.25522323304856104,0.04904847300316103,66
0.001006317138671875,5.571858006537757e-06,0.007592344284057617,0.0004909866651300343,euclidean,11,"{'metric': 'euclidean', 'n_neighbors': 11}",0.29363421228119624,0.2701993529435913,0.23035354692678534,0.23042836794546984,0.3120301138829672,0.26732911879600196,0.032946118064137206,41
0.000910806655883789,0.00017703329417210293,0.007597017288208008,0.0004947711709775603,euclidean,12,"{'metric': 'euclidean', 'n_neighbors': 12}",0.31516895157982183,0.28353384713453145,0.23516853898117507,0.22160761426311226,0.3130145994296244,0.273698710277653,0.03888523204147244,29
0.0010052204132080078,5.864127784592899e-06,0.007993221282958984,0.0006326452697833617,euclidean,13,"{'metric': 'euclidean', 'n_neighbors': 13}",0.2684355318719286,0.2579135085158144,0.23313259635615924,0.23944063149384054,0.32271420549915897,0.26432729474738037,0.03181037827139516,46
0.0008026123046875,0.0004013372849311117,0.008399057388305663,0.0010220810379149923,euclidean,14,"{'metric': 'euclidean', 'n_neighbors': 14}",0.26565237548650644,0.24200497520869835,0.2411145408616584,0.23044942195146667,0.3036639811307027,0.2565770589278065,0.026205450257579112,64
0.001013326644897461,4.029496880861354e-05,0.007201099395751953,0.0004046357522841081,euclidean,15,"{'metric': 'euclidean', 'n_neighbors': 15}",0.25257990197635793,0.255831677797729,0.2547168961501707,0.26068917776401046,0.3253726107734274,0.2698380528923391,0.027894303119858067,38
0.0008038520812988281,0.00040195654541630617,0.008796262741088866,0.0007428668324097924,euclidean,16,"{'metric': 'euclidean', 'n_neighbors': 16}",0.26957389325794956,0.2652926075400993,0.2527395073611419,0.2677334347777386,0.29868575825348587,0.27080504023808305,0.015132979299680271,36
0.0010009288787841796,4.332138406270554e-06,0.008399391174316406,0.00048733682772966877,euclidean,17,"{'metric': 'euclidean', 'n_neighbors': 17}",0.2709051310959526,0.2551186333047728,0.25509893136980644,0.2609711612213703,0.2760858002775125,0.2636359314538829,0.008489596406782736,48
0.0008051395416259766,0.00040260474135304794,0.009081554412841798,0.0010258202162024286,euclidean,18,"{'metric': 'euclidean', 'n_neighbors': 18}",0.2741253156318769,0.2550653870992984,0.2542801862766685,0.25094611314707116,0.27589373499890435,0.26206214743076384,0.010676259967231351,51
0.0007994651794433593,0.00039973854800869687,0.008399772644042968,0.0004914120377708874,euclidean,19,"{'metric': 'euclidean', 'n_neighbors': 19}",0.26147490717432076,0.24381291425004314,0.24739743181063112,0.2534096921964649,0.2818380960474033,0.2575866082957726,0.013522086522040826,61
