param_n_estimators,mean_test_score,rank_test_score
20,0.673756641722333,10
40,0.6823327447410625,8
60,0.6789466093483302,9
80,0.6841271650584453,7
100,0.6861332098127735,6
120,0.689654284536825,1
140,0.6885806492738615,3
160,0.6888422808057095,2
180,0.6869850248027294,5
200,0.6869954839298927,4
